Crime_ID,City,Latitude,Longitude,Crime_Type,Date,Year,Month,Day_of_Week,Hour,Area_Type,Safety_Score,Police_Response_Time,Status
CR000000,Pune,18.5501,73.825,Domestic Violence,2025-10-08,2025,10,Wednesday,10,Industrial,2.5,15,Under Investigation
CR000001,Kolkata,22.5369,88.379,Theft,2024-11-19,2024,11,Tuesday,20,Mixed,2.6,25,Under Investigation
CR000002,Lucknow,26.8492,80.9394,Theft,2025-08-31,2025,8,Sunday,14,Mixed,2.1,20,Resolved
CR000003,Bangalore,12.9598,77.6429,Robbery,2024-07-01,2024,7,Monday,17,Industrial,2.5,22,Open
CR000004,Mumbai,19.0645,72.8293,Theft,2025-07-29,2025,7,Tuesday,15,Residential,2.4,12,Resolved
CR000005,Delhi,28.5898,77.2253,Burglary,2024-10-04,2024,10,Friday,11,Residential,3.7,22,Under Investigation
CR000006,Mumbai,19.0655,72.9204,Assault,2025-01-31,2025,1,Friday,8,Residential,2.6,44,Under Investigation
CR000007,Mumbai,19.08,72.8864,Vandalism,2025-04-24,2025,4,Thursday,16,Industrial,2.4,5,Resolved
CR000008,Jaipur,26.9396,75.7572,Theft,2025-06-12,2025,6,Thursday,11,Industrial,4.1,37,Under Investigation
CR000009,Lucknow,26.8325,80.9078,Domestic Violence,2025-09-26,2025,9,Friday,7,Mixed,2.9,41,Under Investigation
CR000010,Ahmedabad,23.0,72.5775,Burglary,2024-07-24,2024,7,Wednesday,20,Industrial,4.2,18,Resolved
CR000011,Jaipur,26.9335,75.7484,Burglary,2023-12-08,2023,12,Friday,6,Mixed,3.9,36,Under Investigation
CR000012,Chennai,13.0576,80.2617,Domestic Violence,2025-09-23,2025,9,Tuesday,22,Industrial,3.8,26,Under Investigation
CR000013,Lucknow,26.8775,80.9595,Fraud,2025-10-01,2025,10,Wednesday,11,Commercial,3.2,15,Resolved
CR000014,Pune,18.56,73.8385,Theft,2024-10-17,2024,10,Thursday,17,Residential,2.0,7,Resolved
CR000015,Ahmedabad,23.0259,72.5699,Assault,2025-03-09,2025,3,Sunday,13,Commercial,4.8,36,Resolved
CR000016,Jaipur,26.9028,75.7438,Theft,2025-02-03,2025,2,Monday,12,Residential,3.5,41,Resolved
CR000017,Delhi,28.5906,77.2567,Burglary,2025-03-18,2025,3,Tuesday,17,Residential,4.0,30,Open
CR000018,Pune,18.5376,73.8829,Theft,2025-01-08,2025,1,Wednesday,14,Commercial,3.9,26,Resolved
CR000019,Delhi,28.579,77.2098,Assault,2024-01-08,2024,1,Monday,13,Commercial,2.7,7,Under Investigation
CR000020,Kolkata,22.5871,88.3313,Assault,2024-01-28,2024,1,Sunday,16,Industrial,4.5,32,Under Investigation
CR000021,Mumbai,19.1185,72.9154,Theft,2025-06-07,2025,6,Saturday,20,Mixed,3.7,6,Open
CR000022,Chennai,13.1227,80.284,Burglary,2025-07-22,2025,7,Tuesday,18,Mixed,4.5,28,Resolved
CR000023,Delhi,28.6281,77.1674,Theft,2024-09-02,2024,9,Monday,17,Mixed,3.7,29,Under Investigation
CR000024,Mumbai,19.0421,72.8826,Assault,2023-11-09,2023,11,Thursday,23,Mixed,2.5,37,Resolved
CR000025,Kolkata,22.5592,88.3883,Assault,2024-01-28,2024,1,Sunday,16,Industrial,2.3,26,Resolved
CR000026,Hyderabad,17.4329,78.4854,Fraud,2025-10-02,2025,10,Thursday,19,Mixed,3.5,37,Resolved
CR000027,Bangalore,12.9788,77.6215,Theft,2025-05-10,2025,5,Saturday,22,Residential,4.9,10,Resolved
CR000028,Jaipur,26.9577,75.7704,Assault,2024-03-01,2024,3,Friday,22,Industrial,4.6,25,Resolved
CR000029,Delhi,28.5956,77.1759,Assault,2024-04-11,2024,4,Thursday,18,Mixed,3.7,36,Under Investigation
CR000030,Pune,18.4844,73.8585,Fraud,2025-07-17,2025,7,Thursday,18,Mixed,4.1,43,Resolved
CR000031,Pune,18.5124,73.8323,Assault,2024-06-10,2024,6,Monday,0,Mixed,3.9,5,Resolved
CR000032,Bangalore,12.9554,77.5822,Theft,2023-11-02,2023,11,Thursday,17,Commercial,3.0,26,Resolved
CR000033,Hyderabad,17.36,78.4406,Burglary,2024-08-11,2024,8,Sunday,13,Mixed,4.5,9,Resolved
CR000034,Hyderabad,17.3402,78.4898,Robbery,2024-01-12,2024,1,Friday,23,Commercial,3.5,23,Under Investigation
CR000035,Bangalore,12.9655,77.5524,Theft,2025-07-04,2025,7,Friday,8,Mixed,3.3,5,Resolved
CR000036,Delhi,28.6081,77.183,Theft,2024-03-07,2024,3,Thursday,17,Mixed,2.8,43,Under Investigation
CR000037,Chennai,13.0939,80.2627,Theft,2024-01-12,2024,1,Friday,10,Residential,2.4,18,Resolved
